individualID,specimenID,organ,tissue,BrodmannArea,tissueWeight,nucleicAcidSource,cellType
2415,2415,brain,whole brain,,,bulk cell,
2598,2598,brain,whole brain,,,bulk cell,
2599,2599,brain,whole brain,,,bulk cell,
2600,2600,brain,whole brain,,,bulk cell,
4136,4136,brain,whole brain,,,bulk cell,
4148,4148,brain,whole brain,,,bulk cell,
4149,4149,brain,whole brain,,,bulk cell,
4155,4155,brain,whole brain,,,bulk cell,
4156,4156,brain,whole brain,,,bulk cell,
4157,4157,brain,whole brain,,,bulk cell,
4158,4158,brain,whole brain,,,bulk cell,
4520,4520,brain,whole brain,,,bulk cell,
4521,4521,brain,whole brain,,,bulk cell,
4643,4643,brain,whole brain,,,bulk cell,
4644,4644,brain,whole brain,,,bulk cell,
4648,4648,brain,whole brain,,,bulk cell,
4655,4655,brain,whole brain,,,bulk cell,
4658,4658,brain,whole brain,,,bulk cell,
4659,4659,brain,whole brain,,,bulk cell,
4699,4699,brain,whole brain,,,bulk cell,
4700,4700,brain,whole brain,,,bulk cell,
4807,4807,brain,whole brain,,,bulk cell,
4808,4808,brain,whole brain,,,bulk cell,
4809,4809,brain,whole brain,,,bulk cell,
4810,4810,brain,whole brain,,,bulk cell,
4822,4822,brain,whole brain,,,bulk cell,
4823,4823,brain,whole brain,,,bulk cell,
4824,4824,brain,whole brain,,,bulk cell,
4825,4825,brain,whole brain,,,bulk cell,
4830,4830,brain,whole brain,,,bulk cell,
6961,6961,brain,whole brain,,,bulk cell,
6962,6962,brain,whole brain,,,bulk cell,
7565,7565,brain,whole brain,,,bulk cell,
7569,7569,brain,whole brain,,,bulk cell,
8511,8511,brain,whole brain,,,bulk cell,
8512,8512,brain,whole brain,,,bulk cell,
